序号,样本点数据
1253,1.900816806
1254,1.900500902
1255,1.900547745
1256,1.900472384
1257,1.901009022
1258,1.901060777
1259,1.900824367
1260,1.900305313
1261,1.900172092
1262,1.900723333
1263,1.901374279
1264,1.901352705
1265,1.900578908
1266,1.901606675
1267,1.900183327
1268,1.895914558
1269,1.894042158
1270,1.896671377
1271,1.898538931
1272,1.899311448
1273,1.899295002
1274,1.899303311
1275,1.899319329
1276,1.900791514
1277,1.901104564
1278,1.900967791
1279,1.901198631
1280,1.901167038
1281,1.900990626
1282,1.900960967
1283,1.900979276
1284,1.900778778
1285,1.901696601
1286,1.900864577
1287,1.901659362
1288,1.901282902
1289,1.901869833
1290,1.901608144
1291,1.902539461
1292,1.899387159
1293,1.902340596
1294,1.899636506
1295,1.890683889
1296,1.89248164
1297,1.895884921
1298,1.901255146
1299,1.90126039
1300,1.901391362
1301,1.9012825
1302,1.902622533
1303,1.902124814
1304,1.903317182
1305,1.901777178
1306,1.90252421
1307,1.902376878
1308,1.90294762
1309,1.902226045
1310,1.902524448
1311,1.903288563
1312,1.902215486
1313,1.903164554
1314,1.902475924
1315,1.902425037
1316,1.905483687
1317,1.901454159
1318,1.900574231
1319,1.898750741
1320,1.90100925
1321,1.896108899
1322,1.900482585
1323,1.9021734
1324,1.901672754
1325,1.902878443
1326,1.902875876
1327,1.903195116
1328,1.901812225
1329,1.902906211
1330,1.903207484
1331,1.903107988
1332,1.902118467
1333,1.902664525
1334,1.902863061
1335,1.902498865
1336,1.90267334
1337,1.901880789
1338,1.903365245
1339,1.90303353
1340,1.902000609
1341,1.899472161
1342,1.89566624
1343,1.891683327
1344,1.899718094
1345,1.898119818
1346,1.899311789
1347,1.899779648
1348,1.899946975
1349,1.900018595
1350,1.899920624
1351,1.900053286
1352,1.899371149
1353,1.899148882
1354,1.899170606
1355,1.899541286
1356,1.900174237
1357,1.898308097
1358,1.897736887
1359,1.898369455
1360,1.897471431
1361,1.896781999
1362,1.897177928
1363,1.897004779
1364,1.896728844
1365,1.896431504
1366,1.896309647
1367,1.89260484
1368,1.894696054
1369,1.895036023
1370,1.894787302
1371,1.894194698
1372,1.896391105
1373,1.896664065
1374,1.896820056
1375,1.89729669
1376,1.897733993
1377,1.898159227
1378,1.898603506
1379,1.898636019
1380,1.8987141
1381,1.899004588
1382,1.899593822
1383,1.899547527
1384,1.900431208
1385,1.900022684
1386,1.90017861
1387,1.901376224
1388,1.900432082
1389,1.899797833
1390,1.900873108
1391,1.90080044
1392,1.896069763
1393,1.898506336
1394,1.902491254
1395,1.899443696
1396,1.891620415
1397,1.891187262
1398,1.899477491
1399,1.899420935
1400,1.90035012
1401,1.90144059
1402,1.900984659
1403,1.900968597
1404,1.899340361
1405,1.901643729
1406,1.901007434
1407,1.901444904
1408,1.900946997
1409,1.90102144
1410,1.900835711
1411,1.899372711
1412,1.901525494
1413,1.899243049
1414,1.901908661
1415,1.901416811
1416,1.899992963
1417,1.897780207
1418,1.897708169
1419,1.899078385
1420,1.898008523
1421,1.898618361
1422,1.898580055
1423,1.898797602
1424,1.899121136
1425,1.899274392
1426,1.899315984
1427,1.899709051
1428,1.899600234
1429,1.899802667
1430,1.898718155
1431,1.89889059
1432,1.899949642
1433,1.900112355
1434,1.900648972
1435,1.900047263
1436,1.900847585
1437,1.900455795
1438,1.900222184
1439,1.900809658
1440,1.899992025
1441,1.89869333
1442,1.894898502
1443,1.893349397
1444,1.890466787
1445,1.894189727
1446,1.891886415
1447,1.897018664
1448,1.898128414
1449,1.898589694
1450,1.898800829
1451,1.899753505
1452,1.900301914
1453,1.898841534
1454,1.898482157
1455,1.900004338
1456,1.900324374
1457,1.899143856
1458,1.89810679
1459,1.898790367
1460,1.899032184
1461,1.898010498
1462,1.898262731
1463,1.898360661
1464,1.899454237
1465,1.898438489
1466,1.899435716
1467,1.89106027
1468,1.895449899
1469,1.900418012
1470,1.888584365
1471,1.893301373
1472,1.894006213
1473,1.897105765
1474,1.897378638
1475,1.897924593
1476,1.897263924
1477,1.89732839
1478,1.897287989
1479,1.897260248
1480,1.897108574
1481,1.897095569
1482,1.897338992
1483,1.89714926
1484,1.897458019
1485,1.898743247
1486,1.899216694
1487,1.898325422
1488,1.899243447
1489,1.898214189
1490,1.898020089
1491,1.89742763
1492,1.895405443
1493,1.896291823
1494,1.890180141
1495,1.893301478
1496,1.894265139
1497,1.893337149
1498,1.897368466
1499,1.897010154
1500,1.898335431
1501,1.89814085
1502,1.898447591
1503,1.899000316
1504,1.899437574
1505,1.899280224
1506,1.898995851
1507,1.898428088
1508,1.898886415
1509,1.898758649
1510,1.899675599
1511,1.899050141
1512,1.900013313
1513,1.899741195
1514,1.900080482
1515,1.8997409
1516,1.897128581
1517,1.890471863
1518,1.896369024
1519,1.889301015
1520,1.892183125
1521,1.893810263
1522,1.893410104
1523,1.897848531
1524,1.8975532
1525,1.898909338
1526,1.898066401
1527,1.900018986
1528,1.899590146
1529,1.898431825
1530,1.898346487
1531,1.898658145
1532,1.899835197
1533,1.898756573
1534,1.89926663
1535,1.899585796
1536,1.89940802
1537,1.899784143
1538,1.899721805
1539,1.900218212
1540,1.898450395
1541,1.897656305
1542,1.892465742
1543,1.891750749
1544,1.892427445
1545,1.896108734
1546,1.892093334
1547,1.893847389
1548,1.898425316
1549,1.898814135
1550,1.898491956
1551,1.898789531
1552,1.899317996
1553,1.898661737
1554,1.899563125
1555,1.897150531
1556,1.898320753
1557,1.897396582
1558,1.897924162
1559,1.898030403
1560,1.897273683
1561,1.897149706
1562,1.897958769
1563,1.897550105
1564,1.896921775
1565,1.897137237
1566,1.89524702
1567,1.893457406
1568,1.89304408
1569,1.892485368
1570,1.893490458
1571,1.894397747
1572,1.893526929
1573,1.896663342
1574,1.896083406
1575,1.896829226
1576,1.896802877
1577,1.896555202
1578,1.896279747
1579,1.895424349
1580,1.896429549
1581,1.895361544
1582,1.89644017
1583,1.896475744
1584,1.897308281
1585,1.897625435
1586,1.8975025
1587,1.897825673
1588,1.896610227
1589,1.896457752
1590,1.896572958
1591,1.896362953
1592,1.895841837
1593,1.892039575
1594,1.888336281
1595,1.893865991
1596,1.894671631
1597,1.894184986
1598,1.896668675
1599,1.897035053
1600,1.897025734
1601,1.897869573
1602,1.898151124
1603,1.898330761
1604,1.898429934
1605,1.89946306
1606,1.89715789
1607,1.8979638
1608,1.898597567
1609,1.898628653
1610,1.898624866
1611,1.898578799
1612,1.898092284
1613,1.898759771
1614,1.897794128
1615,1.896194781
1616,1.891372782
1617,1.885192258
1618,1.891774173
1619,1.894928145
1620,1.88985756
1621,1.893829045
1622,1.893054131
1623,1.895794816
1624,1.896318507
1625,1.895863525
1626,1.895754071
1627,1.896088918
1628,1.895704375
1629,1.895699229
1630,1.895103031
1631,1.895078175
1632,1.895056431
1633,1.894950067
1634,1.895192734
1635,1.894712238
1636,1.894950802
1637,1.894365476
1638,1.894430579
1639,1.894601029
1640,1.893750434
1641,1.894217334
1642,1.890587181
1643,1.896240391
1644,1.895833199
1645,1.895706657
1646,1.895832991
1647,1.89671465
1648,1.896362718
1649,1.896539566
1650,1.896390925
1651,1.897115338
1652,1.895904485
1653,1.895931211
1654,1.896299368
1655,1.896304745
1656,1.896709641
1657,1.896684308
1658,1.895906565
1659,1.896714163
